No,Player,Team,Seasons,Apps,Min,G,A,xG,xA
61,Bryan Mbeumo,Brentford,2022,35,2934,4,7,9.81,3.96
62,Vitaly Janelt,Brentford,2022,31,2328,4,0,2.99,1.82
63,Sergi Canos,Brentford,2022,31,2128,3,2,3.49,2.17
64,Pontus Jansson,Brentford,2022,37,3325,3,1,4.59,0.56
65,Christian Nørgaard,Brentford,2022,35,3068,3,4,4.97,4.05
66,Rico Henry,Brentford,2022,34,2796,3,0,1.9,1.87
67,Christian Eriksen,Brentford,2022,11,935,1,4,1.4,3.73
68,Zanka,Brentford,2022,8,514,1,0,0.14,0.08
69,Saman Ghoddos,Brentford,2022,17,499,1,1,0.71,1.19
70,Kristoffer Ajer,Brentford,2022,24,2012,1,3,1.07,2.21
71,Ethan Pinnock,Brentford,2022,32,2701,1,1,1.75,1.72
72,Mads Roerslev,Brentford,2022,21,1240,1,1,0.28,0.97
73,Shandon Baptiste,Brentford,2022,22,909,1,0,0.58,0.55
74,Jonas Lössl,Brentford,2022,2,180,0,0,0,0
75,Álvaro Fernández,Brentford,2022,12,1080,0,0,0,0
76,Mathias Jensen,Brentford,2022,31,1598,0,1,2.7,3.16
77,David Raya,Brentford,2022,24,2160,0,0,0,0.04
78,Frank Onyeka,Brentford,2022,20,1056,0,0,0.77,0.16
79,Mads Bidstrup,Brentford,2022,4,26,0,0,0,0
80,Mads Bech Sørensen,Brentford,2022,11,841,0,0,0.07,0.34
81,Marcus Forss,Brentford,2022,7,183,0,1,0.3,0.42
82,Charlie Goode,Brentford,2022,6,446,0,0,0.09,1.04
83,Dominic Thompson,Brentford,2022,2,154,0,0,0.03,0
84,Finley Stevens,Brentford,2022,1,11,0,0,0,0.03
85,Tariqe Fosu-Henry,Brentford,2022,1,15,0,0,0.05,0
86,Nathan Young-Coombes,Brentford,2022,1,1,0,0,0,0
87,Josh Dasilva,Brentford,2022,9,242,0,0,0.1,0.18
88,Neal Maupay,Brighton,2022,32,2271,8,2,8.24,2.44
89,Leandro Trossard,Brighton,2022,34,2830,8,3,7.96,5.28
90,Danny Welbeck,Brighton,2022,25,1464,6,1,8.29,0.89
91,Alexis Mac Allister,Brighton,2022,33,2102,5,2,6.83,2.13
92,Pascal Groß,Brighton,2022,29,2044,2,4,2.87,5.79
93,Adam Webster,Brighton,2022,22,1419,2,0,1.49,0.04
94,Enock Mwepu,Brighton,2022,18,1009,2,4,2,1.58
95,Yves Bissouma,Brighton,2022,26,2134,1,2,1.05,0.84
96,Shane Duffy,Brighton,2022,18,1432,1,0,0.91,0.1
97,Lewis Dunk,Brighton,2022,29,2574,1,0,1.49,0.41
98,Marc Cucurella,Brighton,2022,35,3102,1,1,0.73,2.87
99,Dan Burn,Brighton,2022,13,1025,1,0,0.96,0.7
100,Joël Veltman,Brighton,2022,34,2895,1,1,0.71,1.59
101,Moisés Caicedo,Brighton,2022,8,673,1,1,0.64,0.23
102,Adam Lallana,Brighton,2022,24,1568,0,1,0.88,0.93
103,Solly March,Brighton,2022,31,1723,0,2,1.45,2.99
104,Jürgen Locadia,Brighton,2022,1,20,0,0,0.06,0
105,Jason Steele,Brighton,2022,1,90,0,0,0,0
106,Aaron Connolly,Brighton,2022,4,152,0,0,0.6,0.38
107,Steven Alzate,Brighton,2022,9,410,0,0,0.08,0.15
108,Tariq Lamptey,Brighton,2022,30,1543,0,2,0.99,2.86
109,Robert Sánchez,Brighton,2022,37,3330,0,0,0,0.64
110,Jakub Moder,Brighton,2022,28,1709,0,3,3.1,2.58
111,Taylor Richards,Brighton,2022,2,17,0,0,0.02,0.01
112,Jeremy Sarmiento,Brighton,2022,5,35,0,0,0,0
113,Evan Ferguson,Brighton,2022,1,20,0,0,0,0
114,Maxwel Cornet,Burnley,2022,26,1790,9,1,6.71,1.76
115,Ben Mee,Burnley,2022,21,1839,3,0,2.56,1.27
116,Chris Wood,Burnley,2022,17,1403,3,0,4.97,0.39
117,Aaron Lennon,Burnley,2022,28,1538,2,0,1.04,0.43
118,Jay Rodriguez,Burnley,2022,29,1356,2,2,4.86,1.9
119,Matej Vydra,Burnley,2022,22,634,2,3,1.97,0.75
120,Wout Weghorst,Burnley,2022,20,1459,2,3,5.4,1.85
121,Josh Brownhill,Burnley,2022,35,2953,2,3,1.2,2.35
122,Nathan Collins,Burnley,2022,19,1671,2,0,1.65,1.48
123,Jack Cork,Burnley,2022,20,1689,1,0,0.73,0.19
124,Matthew Lowton,Burnley,2022,25,1788,1,2,0.78,2.14
125,James Tarkowski,Burnley,2022,35,3108,1,2,2.99,0.49
126,Ashley Barnes,Burnley,2022,23,787,1,0,1.68,0.99
127,Connor Roberts,Burnley,2022,21,1686,1,1,0.22,1.16
128,Wayne Hennessey,Burnley,2022,2,180,0,0,0,0.15
129,Ashley Westwood,Burnley,2022,27,2292,0,3,0.49,4.26
130,Erik Pieters,Burnley,2022,12,722,0,1,0.15,0.76
131,Johann Berg Gudmundsson,Burnley,2022,18,1110,0,1,1.69,0.65
132,Kevin Long,Burnley,2022,6,406,0,0,0.14,0
133,Nick Pope,Burnley,2022,36,3240,0,0,0,0.07
134,Charlie Taylor,Burnley,2022,31,2729,0,3,0.19,3.42
135,Dale Stephens,Burnley,2022,3,121,0,0,0.04,0.02
136,Dwight McNeil,Burnley,2022,38,3130,0,1,2.44,5.01
137,Mason Mount,Chelsea,2022,32,2367,11,10,8.52,7.21
138,Romelu Lukaku,Chelsea,2022,26,1571,8,0,7.02,3.36
139,Kai Havertz,Chelsea,2022,29,1829,8,3,10.67,2.57
140,Jorginho,Chelsea,2022,29,2285,6,2,5.91,2.89
141,Christian Pulisic,Chelsea,2022,22,1276,6,2,6.1,1.29
142,Reece James,Chelsea,2022,26,1866,5,9,2.54,7.03
143,Timo Werner,Chelsea,2022,21,1291,4,1,6.17,0.32
144,Marcos Alonso,Chelsea,2022,28,2185,4,4,3.49,5.04
145,Hakim Ziyech,Chelsea,2022,23,1304,4,3,3.04,3.93
146,Ben Chilwell,Chelsea,2022,7,541,3,1,1.3,0.83
147,Antonio Rüdiger,Chelsea,2022,34,3036,3,0,2.68,0.74
148,Thiago Silva,Chelsea,2022,32,2638,3,0,1.07,0.25
149,Trevoh Chalobah,Chelsea,2022,20,1459,3,1,1.18,0.27
150,N'Golo Kanté,Chelsea,2022,26,1787,2,4,1.76,2.2
151,Mateo Kovacic,Chelsea,2022,25,1541,2,5,1.69,4.12
152,Ross Barkley,Chelsea,2022,6,169,1,0,1.36,0.66
153,César Azpilicueta,Chelsea,2022,27,2084,1,2,1.26,2.08
154,Callum Hudson-Odoi,Chelsea,2022,15,971,1,2,2.78,2.64
155,Andreas Christensen,Chelsea,2022,19,1499,0,0,0.8,0.19
156,Ruben Loftus-Cheek,Chelsea,2022,24,1378,0,2,0.94,2.56
157,Kenedy,Chelsea,2022,1,59,0,1,0.05,0.75
158,Emerson,Chelsea,2022,1,3,0,0,0,0
159,Saúl Ñíguez,Chelsea,2022,10,477,0,0,0.14,0.19
160,Kepa,Chelsea,2022,4,360,0,0,0,0
161,Malang Sarr,Chelsea,2022,8,549,0,0,0.02,0.39
162,Edouard Mendy,Chelsea,2022,34,3060,0,0,0,0
163,Wilfried Zaha,Crystal Palace,2022,33,2762,14,1,10.18,4.89
164,Conor Gallagher,Crystal Palace,2022,34,2863,8,3,7.67,4.14
165,Odsonne Edouard,Crystal Palace,2022,28,1579,6,4,6.53,2.17
166,Jean-Philippe Mateta,Crystal Palace,2022,22,1153,5,1,5.85,0.72
167,Christian Benteke,Crystal Palace,2022,25,1112,4,1,4.72,1.67
168,Jeffrey Schlupp,Crystal Palace,2022,32,1836,4,1,3.63,2.03
169,Jordan Ayew,Crystal Palace,2022,31,2036,3,3,4.29,3.04
170,Marc Guehi,Crystal Palace,2022,36,3227,2,1,2.49,1.2
171,Michael Olise,Crystal Palace,2022,26,1125,2,5,1.49,4.96
172,James Tomkins,Crystal Palace,2022,8,540,1,0,0.69,0.35
173,Eberechi Eze,Crystal Palace,2022,13,597,1,1,0.46,0.97
174,Joel Ward,Crystal Palace,2022,28,2487,0,0,0.34,0.33
175,Cheikhou Kouyaté,Crystal Palace,2022,27,1991,0,1,0.22,0.7
176,Nathaniel Clyne,Crystal Palace,2022,16,1351,0,1,0.07,0.32
177,James McArthur,Crystal Palace,2022,21,1433,0,3,0.31,1.27
178,Jack Butland,Crystal Palace,2022,9,761,0,0,0,0
179,Vicente Guaita,Crystal Palace,2022,30,2659,0,0,0,0
180,Luka Milivojevic,Crystal Palace,2022,15,776,0,0,0.29,0.64
181,Jairo Riedewald,Crystal Palace,2022,3,112,0,0,0,0.05
182,Will Hughes,Crystal Palace,2022,16,1071,0,1,0.14,0.96
183,Joachim Andersen,Crystal Palace,2022,34,2917,0,3,0.48,1.38
184,Nathan Ferguson,Crystal Palace,2022,1,6,0,0,0,0
185,Tyrick Mitchell,Crystal Palace,2022,36,3100,0,2,0.22,1.91
186,Jesurun Rak-Sakyi,Crystal Palace,2022,2,80,0,0,0,0
187,Richarlison,Everton,2022,30,2532,10,5,10.01,4.38
188,Demarai Gray,Everton,2022,34,2366,5,4,4.34,4.43
189,Dominic Calvert-Lewin,Everton,2022,17,1297,5,2,6.22,1.66
190,Anthony Gordon,Everton,2022,35,2288,4,2,3.46,3.78
191,Andros Townsend,Everton,2022,21,1463,3,2,2.26,2.85
192,Michael Keane,Everton,2022,32,2799,3,2,1.2,1.34
193,Alex Iwobi,Everton,2022,28,2041,2,2,2.4,3.07
194,Mason Holgate,Everton,2022,25,2137,2,1,1.66,0.1
195,Abdoulaye Doucouré,Everton,2022,30,2540,2,4,2.65,2.42
196,Seamus Coleman,Everton,2022,30,2663,1,0,1.17,0.8
197,Salomón Rondón,Everton,2022,20,764,1,1,2.64,0.61
198,Tom Davies,Everton,2022,6,228,1,0,1.01,0
199,Jarrad Branthwaite,Everton,2022,6,384,1,0,0.6,0
200,Donny van de Beek,Everton,2022,7,486,1,0,0.77,0.04
201,Vitalii Mykolenko,Everton,2022,13,1059,1,0,0.55,0.5
202,Dele Alli,Everton,2022,11,314,0,0,0.13,0.63
203,Asmir Begovic,Everton,2022,3,270,0,0,0,0
204,Jordan Pickford,Everton,2022,35,3150,0,0,0,0.14
205,Fabian Delph,Everton,2022,11,663,0,0,0.04,0.08
206,Jonjoe Kenny,Everton,2022,15,1014,0,1,0.16,0.58
207,Moise Kean,Everton,2022,1,1,0,0,0,0
208,Allan,Everton,2022,28,2196,0,2,0.24,0.65
209,Lucas Digne,Everton,2022,13,1170,0,0,0.36,1.63
210,André Gomes,Everton,2022,14,621,0,1,0.99,0.16
211,Jean-Philippe Gbamin,Everton,2022,3,67,0,0,0,0
212,Anwar El Ghazi,Everton,2022,2,8,0,0,0,0
213,Cenk Tosun,Everton,2022,1,2,0,0,0,0
214,Yerry Mina,Everton,2022,13,842,0,0,0.24,0.03
215,Ben Godfrey,Everton,2022,23,2034,0,0,1.3,0.71
216,Ellis Simms,Everton,2022,1,63,0,0,0,0
217,Tyler Onyango,Everton,2022,3,23,0,0,0.03,0
218,Isaac Price,Everton,2022,1,10,0,0,0.27,0
219,Lewis Dobbin,Everton,2022,3,29,0,0,0,0
220,Raphinha,Leeds United,2022,35,2940,11,3,10.23,6.94
221,Jack Harrison,Leeds United,2022,35,2660,8,1,5.15,3.45
222,Rodrigo,Leeds United,2022,31,2280,6,1,5.61,3.65
223,Daniel James,Leeds United,2022,32,2386,4,4,7.45,3.75
224,Diego Llorente,Leeds United,2022,28,2351,3,0,1.98,0.05
225,Patrick Bamford,Leeds United,2022,9,558,2,2,3,1.03
226,Luke Ayling,Leeds United,2022,26,2276,2,2,1.04,2.36
227,Joe Gelhardt,Leeds United,2022,20,700,2,2,3.8,1.81
228,Tyler Roberts,Leeds United,2022,23,938,1,1,2.43,1.47
229,Mateusz Klich,Leeds United,2022,33,2117,1,2,2.7,1.91
230,Pascal Struijk,Leeds United,2022,29,2052,1,0,2.3,0.43
231,Stuart Dallas,Leeds United,2022,34,2929,1,1,1.84,3.38
232,Adam Forshaw,Leeds United,2022,22,1524,0,1,0.48,1.04
233,Hélder Costa,Leeds United,2022,1,20,0,0,0.02,0
234,Robin Koch,Leeds United,2022,20,1573,0,0,1.09,0.28
235,Júnior Firpo,Leeds United,2022,24,1735,0,2,0.94,2.52
236,Lewis Bate,Leeds United,2022,3,152,0,0,0.02,0
237,Illan Meslier,Leeds United,2022,38,3396,0,0,0,0
238,Kalvin Phillips,Leeds United,2022,20,1598,0,1,0.77,1.16
239,Jamie Shackleton,Leeds United,2022,14,692,0,0,0.17,0.01
240,Liam Cooper,Leeds United,2022,21,1814,0,1,0.28,0.13
241,Charlie Cresswell,Leeds United,2022,5,130,0,0,0.06,0
242,Crysencio Summerville,Leeds United,2022,6,124,0,0,0.32,0.05
243,Sam Greenwood,Leeds United,2022,7,222,0,2,0.23,0.43
244,Cody Drameh,Leeds United,2022,3,122,0,0,0,0.02
245,Kristoffer Klaesson,Leeds United,2022,1,24,0,0,0,0
246,Liam McCarron,Leeds United,2022,1,6,0,0,0,0
247,Stuart McKinstry,Leeds United,2022,1,1,0,0,0,0
248,Leo Fuhr Hjelde,Leeds United,2022,2,150,0,0,0,0.02
249,Jamie Vardy,Leicester,2022,25,1807,15,2,9.99,1.61
250,James Maddison,Leicester,2022,35,2480,12,8,6.5,5.67
251,Ademola Lookman,Leicester,2022,26,1470,6,0,4.78,1.81
252,Youri Tielemans,Leicester,2022,32,2638,6,4,4.27,4.31
253,Harvey Barnes,Leicester,2022,32,2108,6,10,6.22,4.48
254,Patson Daka,Leicester,2022,23,1164,5,3,5.11,1.82
255,Kelechi Iheanacho,Leicester,2022,26,1236,4,5,3.63,2.71
256,Ayoze Pérez,Leicester,2022,14,443,2,3,2.06,1.23
257,Marc Albrighton,Leicester,2022,17,1113,1,2,0.49,1.69
258,Jonny Evans,Leicester,2022,18,1355,1,1,1.28,0.92
259,Ricardo Pereira,Leicester,2022,14,1000,1,3,0.58,1.4
260,Caglar Söyüncü,Leicester,2022,28,2500,1,0,1.01,0.09
261,Timothy Castagne,Leicester,2022,27,2118,1,0,0.94,1.09
262,Kiernan Dewsbury-Hall,Leicester,2022,28,2101,1,2,1.29,3.03
263,Jannik Vestergaard,Leicester,2022,10,561,0,0,0.04,0.07
264,Danny Ward,Leicester,2022,1,90,0,0,0,0
265,Kasper Schmeichel,Leicester,2022,37,3330,0,0,0,0.02
266,Daniel Amartey,Leicester,2022,28,2111,0,0,0.02,0.25
267,Ryan Bertrand,Leicester,2022,4,340,0,0,0,0
268,Nampalys Mendy,Leicester,2022,14,1041,0,0,0.02,0.03
269,Wilfred Ndidi,Leicester,2022,19,1621,0,0,0.58,0.08
270,Boubakary Soumare,Leicester,2022,19,1102,0,1,0.33,0.29
271,Hamza Choudhury,Leicester,2022,6,289,0,0,0.02,0
272,Wesley Fofana,Leicester,2022,7,630,0,0,0.57,0.04
273,James Justin,Leicester,2022,13,993,0,0,0.53,0.85
274,Luke Thomas,Leicester,2022,22,1915,0,1,0.18,1.42
275,Kasey McAteer,Leicester,2022,1,1,0,0,0,0
276,Lewis Brunt,Leicester,2022,1,22,0,0,0,0
277,Mohamed Salah,Liverpool,2022,35,2757,23,13,24.36,9.79
278,Sadio Mané,Liverpool,2022,34,2833,16,2,16.83,5.27
279,Diogo Jota,Liverpool,2022,35,2401,15,4,17.35,5.87
280,Roberto Firmino,Liverpool,2022,20,979,5,4,5.25,2.22
281,Fabinho,Liverpool,2022,29,2320,5,1,5.03,1.26
282,Luis Díaz,Liverpool,2022,13,962,4,3,4.28,2.18
283,Joel Matip,Liverpool,2022,31,2790,3,3,2.72,2.08
284,Divock Origi,Liverpool,2022,7,104,3,0,1.68,0
285,Virgil van Dijk,Liverpool,2022,34,3060,3,1,2.17,1.56
286,Andrew Robertson,Liverpool,2022,29,2550,3,10,2.27,6.2
287,Naby Keita,Liverpool,2022,23,1181,3,1,2.14,1.81
288,Takumi Minamino,Liverpool,2022,11,162,3,0,1.76,0.56
289,Jordan Henderson,Liverpool,2022,35,2616,2,5,1.37,4.2
290,Alex Oxlade-Chamberlain,Liverpool,2022,17,783,2,1,1.18,1.27
291,Trent Alexander-Arnold,Liverpool,2022,32,2856,2,12,2.19,12.69
292,Thiago Alcántara,Liverpool,2022,25,1531,1,4,1.63,2.58
293,Curtis Jones,Liverpool,2022,15,869,1,1,0.83,0.68
294,James Milner,Liverpool,2022,24,836,0,1,0.34,2.18
295,Joseph Gomez,Liverpool,2022,8,333,0,1,0.01,0.71
296,Alisson,Liverpool,2022,36,3240,0,1,0,0.13
297,Ibrahima Konaté,Liverpool,2022,11,990,0,0,0.21,0
298,Harvey Elliott,Liverpool,2022,6,348,0,0,0.61,0.52
299,Caoimhin Kelleher,Liverpool,2022,2,180,0,0,0,0
300,Neco Williams,Liverpool,2022,1,6,0,1,0,0.6
301,Konstantinos Tsimikas,Liverpool,2022,13,866,0,2,0.67,2.13
302,Tyler Morton,Liverpool,2022,2,68,0,0,0,0
303,Kaide Gordon,Liverpool,2022,1,7,0,0,0.49,0
304,Kevin De Bruyne,Man City,2022,30,2214,15,8,5.95,11.26
305,Raheem Sterling,Man City,2022,30,2119,13,5,15.78,5.02
306,Riyad Mahrez,Man City,2022,28,1468,11,5,10.12,3.93
307,Phil Foden,Man City,2022,28,2141,9,5,9.26,6.83
308,Ilkay Gündogan,Man City,2022,27,1852,8,4,9.72,4.72
309,Bernardo Silva,Man City,2022,35,2865,8,4,7.77,6.57
310,Gabriel Jesus,Man City,2022,28,1885,8,8,10.15,5.91
311,Rodri,Man City,2022,33,2901,7,2,2.72,1.55
312,Aymeric Laporte,Man City,2022,33,2848,4,0,4.45,0.61
313,Jack Grealish,Man City,2022,26,1929,3,3,5.53,5.46
314,Nathan Aké,Man City,2022,14,920,2,0,1.3,0.62
315,Fernandinho,Man City,2022,19,943,2,1,1.61,1.34
316,Ferrán Torres,Man City,2022,4,308,2,1,2.51,0.02
317,Rúben Dias,Man City,2022,29,2403,2,4,2.54,3.16
318,John Stones,Man City,2022,14,1114,1,0,1.21,0.16
319,João Cancelo,Man City,2022,36,3233,1,7,4.54,6.01
320,Kyle Walker,Man City,2022,20,1759,0,2,0.22,1.46
321,Oleksandr Zinchenko,Man City,2022,15,1026,0,4,0.49,2.31
322,Benjamin Mendy,Man City,2022,1,80,0,0,0,0.29
323,Ederson,Man City,2022,37,3330,0,0,0,0
324,Zack Steffen,Man City,2022,1,90,0,0,0,0
325,Cole Palmer,Man City,2022,4,123,0,0,0.28,0.45
326,Liam Delap,Man City,2022,1,7,0,0,0,0
327,James McAtee,Man City,2022,2,15,0,0,0.09,0
328,CJ Egan-Riley,Man City,2022,1,1,0,0,0,0
329,Kayky,Man City,2022,1,5,0,0,0,0
330,Cristiano Ronaldo,Man United,2022,30,2468,18,3,17.21,4.45
331,Bruno Fernandes,Man United,2022,36,3135,10,6,9.29,8.81
332,Mason Greenwood,Man United,2022,18,1305,5,1,4.48,1.33
333,Marcus Rashford,Man United,2022,25,1229,4,2,2.82,2.43
334,Fred,Man United,2022,28,2038,4,4,1.09,2.33
335,Jadon Sancho,Man United,2022,29,1891,3,3,4.23,4.08
336,Jesse Lingard,Man United,2022,16,338,2,0,0.77,0.46
337,Edinson Cavani,Man United,2022,15,745,2,1,3.73,1.25
338,Anthony Elanga,Man United,2022,21,1218,2,2,2.98,1.93
339,Anthony Martial,Man United,2022,8,202,1,0,1.17,0
340,Harry Maguire,Man United,2022,30,2518,1,0,2.24,0.14
341,Paul Pogba,Man United,2022,20,1371,1,9,2.19,3.84
342,Raphael Varane,Man United,2022,22,1823,1,1,0.75,0.21
343,Scott McTominay,Man United,2022,30,2410,1,1,1.48,1.69
344,Donny van de Beek,Man United,2022,8,59,1,0,0.74,0.39
345,David de Gea,Man United,2022,38,3420,0,0,0,0
346,Juan Mata,Man United,2022,7,225,0,0,0.34,0.34
347,Nemanja Matic,Man United,2022,23,1386,0,4,0.2,1.85
348,Phil Jones,Man United,2022,4,162,0,0,0,0
349,Luke Shaw,Man United,2022,20,1609,0,3,0.17,3.69
350,Eric Bailly,Man United,2022,4,220,0,0,0,0
351,Alex Telles,Man United,2022,21,1659,0,4,0.45,2.17
352,Aaron Wan-Bissaka,Man United,2022,20,1795,0,0,0.29,0.92
353,Daniel James,Man United,2022,2,130,0,0,0.26,0.53
354,Victor Lindelöf,Man United,2022,28,2349,0,2,0.19,0.66
355,Diogo Dalot,Man United,2022,24,1790,0,0,0.66,0.85
356,Shola Shoretire,Man United,2022,1,14,0,0,0,0
357,Hannibal Mejbri,Man United,2022,2,68,0,0,0.05,0
358,Alejandro Garnacho,Man United,2022,2,11,0,0,0,0
359,Callum Wilson,Newcastle,2022,18,1401,8,0,7.04,0.53
360,Allan Saint-Maximin,Newcastle,2022,35,2825,5,5,5.66,5.26
361,Bruno Guimarães,Newcastle,2022,17,1031,5,1,4.09,1.74
362,Joelinton,Newcastle,2022,35,2554,4,1,3.82,1.88
363,Fabian Schär,Newcastle,2022,25,2167,2,2,0.84,1.48
364,Kieran Trippier,Newcastle,2022,6,434,2,0,0.23,0.24
365,Jonjo Shelvey,Newcastle,2022,24,1987,2,1,0.88,1.06
366,Ryan Fraser,Newcastle,2022,27,1476,2,3,2.87,2.15
367,Chris Wood,Newcastle,2022,17,1331,2,0,3.25,0.98
368,Joe Willock,Newcastle,2022,29,2063,2,0,3.68,1.13
369,Jamaal Lascelles,Newcastle,2022,26,2052,1,0,1.34,0.23
370,Javier Manquillo,Newcastle,2022,19,1273,1,2,0.38,0.47
371,Jeff Hendrick,Newcastle,2022,3,65,1,0,0.02,0.02
372,Isaac Hayden,Newcastle,2022,14,1008,1,0,0.29,0.06
373,Jacob Murphy,Newcastle,2022,33,1418,1,2,2.59,2.39
374,Sean Longstaff,Newcastle,2022,24,1459,1,1,0.78,0.46
375,Miguel Almirón,Newcastle,2022,30,1730,1,0,1.71,1
376,Matt Ritchie,Newcastle,2022,18,1335,0,2,0.37,1.96
377,Federico Fernández,Newcastle,2022,7,523,0,0,0.34,0.28
378,Dwight Gayle,Newcastle,2022,8,20,0,0,0.21,0.41
379,Karl Darlow,Newcastle,2022,8,720,0,0,0,0
380,Freddie Woodman,Newcastle,2022,4,360,0,0,0,0
381,Paul Dummett,Newcastle,2022,3,199,0,0,0,0
382,Ciaran Clark,Newcastle,2022,13,1011,0,1,1.01,0.2
383,Matt Targett,Newcastle,2022,16,1440,0,0,0.28,1.7
384,Emil Krafth,Newcastle,2022,20,1636,0,1,0.23,1.04
385,Martin Dubravka,Newcastle,2022,26,2340,0,0,0,0.03
386,Dan Burn,Newcastle,2022,16,1440,0,1,0.65,0.76
387,Jamal Lewis,Newcastle,2022,5,261,0,0,0,0.03
388,Teemu Pukki,Norwich,2022,37,3278,11,3,11.45,4.06
389,Joshua Sargent,Norwich,2022,26,1578,2,1,2.07,0.54
390,Kieran Dowell,Norwich,2022,19,912,1,1,1.25,1.24
391,Pierre Lees-Melou,Norwich,2022,33,2293,1,0,1.36,1.86
392,Milot Rashica,Norwich,2022,31,2248,1,2,2.57,1.91
393,Mathias Normann,Norwich,2022,23,1661,1,2,0.84,2.29
394,Grant Hanley,Norwich,2022,33,2899,1,0,1.7,0.4
395,Kenny McLean,Norwich,2022,31,2710,1,0,1.92,1.09
396,Adam Idah,Norwich,2022,17,611,1,1,1.93,0.46
397,Andrew Omobamidele,Norwich,2022,5,380,1,0,0.17,0
398,Lukas Rupp,Norwich,2022,19,744,0,0,0.47,1.3
399,Sam Byram,Norwich,2022,15,1019,0,0,0.36,0.26
400,Tim Krul,Norwich,2022,29,2610,0,0,0,0.48
401,Ben Gibson,Norwich,2022,28,2496,0,0,1.36,0.12
402,Angus Gunn,Norwich,2022,9,810,0,0,0,0
403,Ozan Kabak,Norwich,2022,11,926,0,0,0.58,0.03
404,Max Aarons,Norwich,2022,34,2882,0,2,0.84,1.79
405,Todd Cantwell,Norwich,2022,8,443,0,0,0.12,0.31
406,Billy Gilmour,Norwich,2022,24,1864,0,1,0.84,1.05
407,Christoph Zimmermann,Norwich,2022,3,162,0,0,0.04,0
408,Brandon Williams,Norwich,2022,26,2120,0,1,0.16,1.92
409,Dimitris Giannoulis,Norwich,2022,18,1170,0,1,0.1,0.54
410,Christos Tzolis,Norwich,2022,14,321,0,0,0.33,0.77
411,Bali Mumba,Norwich,2022,1,43,0,0,0,0
412,Jacob Sørensen,Norwich,2022,10,595,0,0,0.19,0
413,Przemyslaw Placheta,Norwich,2022,12,513,0,0,0.4,0.59
414,Jonathan Rowe,Norwich,2022,13,179,0,1,0.2,0.41
415,Tony Springett,Norwich,2022,3,138,0,0,0.52,0.51
416,James Ward-Prowse,Southampton,2022,36,3222,10,5,5.09,6.4
417,Che Adams,Southampton,2022,30,2039,7,3,8.29,2.85
418,Armando Broja,Southampton,2022,32,1986,6,0,5.89,1.46
419,Jan Bednarek,Southampton,2022,31,2637,4,0,2.79,0.37
420,Mohamed Elyounoussi,Southampton,2022,30,2048,4,2,6.58,2.23
421,Oriol Romeu,Southampton,2022,36,2905,2,2,1.5,3.04
422,Adam Armstrong,Southampton,2022,23,1412,2,2,4.24,1.62
423,Stuart Armstrong,Southampton,2022,25,1456,2,0,2.76,1.62
424,Nathan Redmond,Southampton,2022,27,1829,1,5,1.63,4.07
425,Shane Long,Southampton,2022,13,303,1,0,1.17,0.13
426,Kyle Walker-Peters,Southampton,2022,32,2631,1,2,1.33,3.33
427,Valentino Livramento,Southampton,2022,28,2202,1,1,1.15,2.96
428,Theo Walcott,Southampton,2022,9,387,0,0,0.86,0.02
429,Willy Caballero,Southampton,2022,2,180,0,0,0,0
430,Alex McCarthy,Southampton,2022,17,1530,0,0,0,0.02
431,Fraser Forster,Southampton,2022,19,1710,0,0,0,0
432,Jack Stephens,Southampton,2022,11,806,0,0,0,0.24
433,Lyanco,Southampton,2022,15,898,0,0,0.26,0.17
434,Romain Perraud,Southampton,2022,20,1630,0,1,0.73,0.4
435,Ibrahima Diallo,Southampton,2022,23,1008,0,2,0.34,1.04
436,Mohammed Salisu,Southampton,2022,34,2972,0,0,1.79,0.54
437,Yan Valery,Southampton,2022,5,368,0,0,0.03,0.26
438,Moussa Djenepo,Southampton,2022,12,449,0,0,1.28,0.27
439,William Smallbone,Southampton,2022,4,136,0,0,0.07,0.05
440,Nathan Tella,Southampton,2022,14,831,0,1,0.68,0.63
441,Son Heung-Min,Tottenham,2022,35,3051,23,7,16.99,7.85
442,Harry Kane,Tottenham,2022,37,3229,17,9,20.69,9.82
443,Dejan Kulusevski,Tottenham,2022,18,1276,5,8,3.02,4.15
444,Steven Bergwijn,Tottenham,2022,25,518,3,1,3.34,0.89
445,Pierre-Emile Højbjerg,Tottenham,2022,36,3202,2,2,2.64,2.54
446,Lucas Moura,Tottenham,2022,34,1770,2,6,3.36,5.32
447,Davinson Sánchez,Tottenham,2022,23,1618,2,0,2,0.29
448,Matt Doherty,Tottenham,2022,15,864,2,4,3.09,2.03
449,Sergio Reguilón,Tottenham,2022,25,1929,2,3,2.97,3.53
450,Dele Alli,Tottenham,2022,10,664,1,0,1.4,0.5
451,Ben Davies,Tottenham,2022,29,2542,1,1,2.48,0.65
452,Tanguy NDombele Alvaro,Tottenham,2022,9,490,1,1,0.54,0.62
453,Cristian Romero,Tottenham,2022,22,1850,1,0,0.41,0.38
454,Emerson,Tottenham,2022,31,2296,1,1,2.02,2.45
455,Hugo Lloris,Tottenham,2022,38,3420,0,0,0,0.21
456,Eric Dier,Tottenham,2022,35,3071,0,0,1.56,1.32
457,Harry Winks,Tottenham,2022,19,896,0,1,0.07,1.52
458,Giovani Lo Celso,Tottenham,2022,9,223,0,0,0.73,1.06
